enrollment_id,student_id,course_id,grade
113,48894,277,D
114,33157,942,B
115,37400,3,B
116,21955,900,F
117,15182,103,C
118,24055,596,C
119,22205,160,F
120,3364,156,A
121,4458,34,B
122,46266,644,A
123,46600,94,D
124,34826,367,B
125,36028,966,C
126,18252,820,B
127,25170,856,A
128,18227,114,C
129,23855,944,D
130,35241,591,F
131,32743,980,B
132,44799,853,A
133,9877,723,B
134,43985,646,F
135,1826,60,F
136,15560,240,B
137,15620,728,B
138,31497,476,B
139,10257,78,B
140,13010,965,F
141,40055,222,C
142,13006,776,B
143,29278,319,F
144,21631,811,C
145,19716,610,B
146,22351,151,A
147,32263,566,C
148,36253,927,C
149,23233,22,D
150,2138,193,B
151,29319,25,D
152,49804,555,A
153,7155,161,F
154,4103,196,C
155,9821,59,F
156,46488,510,F
157,14976,237,D
158,34272,567,B
159,16587,124,A
160,17443,335,B
161,1189,46,A
162,24555,893,D
163,25966,822,F
164,24439,93,C
165,36683,619,F
166,39234,541,A
167,6831,976,D
168,27615,779,B
169,13864,973,A
170,17996,863,C
171,43813,807,D
172,44505,213,B
173,47394,77,D
174,28287,724,C
175,16563,836,B
176,8298,115,D
177,30318,388,A
178,24811,882,D
179,29418,607,A
180,18168,972,C
181,26362,330,A
182,23672,722,F
183,24873,392,C
184,15000,657,B
185,34952,608,A
186,44980,3,C
187,32196,139,F
188,13926,613,B
189,19346,760,C
190,6527,594,C
191,15738,131,F
192,22463,454,C
193,33128,898,A
194,13914,48,A
195,9626,135,C
196,17003,451,F
197,37817,549,D
198,32614,986,A
199,38883,141,C
200,416,319,F
201,37620,451,C
202,22272,472,F
203,16978,903,F
204,49036,113,A
205,42330,536,A
206,7715,326,C
207,30909,554,C
208,24910,533,C
209,42520,177,C
210,896,718,A
211,19960,549,B
212,14116,393,F
213,11181,911,C
214,32338,563,D
215,42409,272,D
216,14226,454,F
217,32042,622,C
218,42648,623,F
219,9670,425,A
220,21765,49,F
221,25952,67,D
222,15776,137,F
223,21858,972,B
224,38062,124,F
225,36436,350,F
226,43101,185,A
227,44893,933,F
228,39714,591,F
229,33768,823,B
230,21540,667,A
231,642,334,F
232,48796,59,B
233,3752,632,D
234,41723,446,F
235,40803,332,D
236,2249,347,B
237,217,150,D
238,44540,253,B
239,23124,334,B
240,41939,337,C
241,35676,742,F
242,28885,117,A
243,24890,981,A
244,31885,49,F
245,39845,274,C
246,26972,304,D
247,5717,438,D
248,6032,632,A
249,31664,494,F
250,40606,80,F
251,20520,518,F
252,19627,630,F
253,38165,231,C
254,4051,267,F
255,15603,897,B
256,3492,767,B
257,7421,842,C
258,30950,632,B
259,36491,293,A
260,41667,865,A
261,12254,318,F
262,26787,534,B
263,4969,111,D
264,2751,287,F
265,39649,337,C
266,25418,439,A
267,47862,639,D
268,43882,803,F
269,1679,470,C
270,36766,989,C
271,14779,472,B
272,2229,378,F
273,27133,936,D
274,9381,639,A
275,27772,803,A
276,6494,139,F
277,40631,318,B
278,18281,599,A
279,24161,236,A
280,39492,110,B
281,18143,275,C
282,44606,760,F
283,32923,448,C
284,7175,113,C
285,10271,548,A
286,37502,155,F
287,15282,530,A
288,18497,391,D
289,21763,430,A
290,26233,803,F
291,31147,462,C
292,48152,377,A
293,36447,922,C
294,10031,360,C
295,19833,955,C
296,5412,520,A
297,4217,566,A
298,49952,759,B
299,42898,386,B
300,10302,461,F
301,17698,109,C
302,17292,756,C
303,24353,321,C
304,618,508,D
305,43960,161,F
306,49324,750,C
307,11646,95,D
308,14612,508,D
309,24175,871,F
310,16371,982,B
311,27722,911,B
312,7374,632,A
313,39181,676,D
314,200,134,C
315,28801,479,B
316,18906,544,C
317,47157,799,C
318,40257,526,F
319,41250,433,F
320,25821,589,B
321,16156,714,D
322,16443,415,D
323,41437,258,D
324,13036,721,D
325,9190,291,F
326,36651,172,D
327,15651,919,C
328,20326,717,D
329,169,12,D
330,30440,90,C
331,18032,263,F
332,34856,803,B
333,49203,348,A
334,18729,686,D
335,1967,504,B
336,30859,433,A
337,46396,88,C
338,27145,462,F
339,45100,110,F
340,16624,14,C
341,3784,878,D
342,7563,193,D
343,38592,265,B
344,5863,881,F
345,25271,538,B
346,47725,38,C
347,29367,744,D
348,47329,335,F
349,26918,596,D
350,2909,87,A
351,14586,978,F
352,49949,458,B
353,29006,17,F
354,12323,466,A
355,9201,865,C
356,9476,661,D
357,42882,816,B
358,21812,902,D
359,43144,931,B
360,16029,49,F
361,42814,766,F
362,19936,801,F
363,17635,460,A
364,49450,3,B
365,5474,122,F
366,1369,867,D
367,24598,578,D
368,30801,116,B
369,16418,643,C
370,1146,305,A
371,43256,276,B
372,20135,535,F
373,36251,406,D
374,47942,208,A
375,36527,724,D
376,4686,225,A
377,12195,850,B
378,18533,357,C
379,38784,204,D
380,44826,274,D
381,14841,690,F
382,29828,50,C
383,42200,15,D
384,46573,775,B
385,46774,47,C
386,25328,647,A
387,12189,60,C
388,32032,369,D
389,33309,646,D
390,4154,439,D
391,12763,944,B
392,2874,905,C
393,21408,731,B
394,7077,601,F
395,19656,387,F
396,47570,80,D
397,23620,800,C
398,31964,895,C
399,20561,940,B
400,49763,526,F
401,19318,346,C
402,28308,851,A
403,44960,379,D
404,9947,496,B
405,36161,326,B
406,47286,897,C
407,1837,532,F
408,23365,753,C
409,2212,397,C
410,47601,355,B
411,10504,752,F
412,20467,461,D
413,40412,388,A
414,35702,816,A
415,17268,198,B
416,19186,59,F
417,33692,701,A
418,9124,460,D
419,3885,44,A
420,29468,263,D
421,26857,857,A
422,11964,949,F
423,32140,263,F
424,40636,195,D
425,5367,384,C
426,14386,257,D
427,22132,573,A
428,41883,553,F
429,13378,815,F
430,39377,136,F
431,34323,584,F
432,45676,865,B
433,35252,332,B
434,24326,580,F
435,46390,76,A
436,22788,187,A
437,46029,941,D
438,32192,28,A
439,27129,467,B
440,9184,330,D
441,17721,851,F
442,49946,398,A
443,21546,579,A
444,44315,866,C
445,5084,810,D
446,6995,178,A
447,45356,926,D
448,9541,517,C
449,30800,768,C
450,43720,472,C
451,4413,537,C
452,6392,673,A
453,18444,540,C
454,45117,57,F
455,14367,448,D
456,20058,300,D
457,46207,299,A
458,5254,197,D
459,26194,667,F
460,41628,382,C
461,37737,108,C
462,7140,179,C
463,6311,701,A
464,45575,1000,B
465,23422,960,C
466,12404,327,C
467,34556,77,F
468,9025,903,B
469,39309,387,F
470,19255,858,C
471,40354,989,D
472,31819,620,B
473,37028,493,A
474,37592,626,C
475,19426,779,B
476,39896,308,B
477,49237,627,B
478,7505,918,B
479,4754,42,C
480,42501,417,B
481,9899,830,A
482,34938,122,B
483,15806,569,B
484,48267,15,B
485,42194,739,C
486,18938,422,C
487,13699,235,D
488,35555,990,A
489,44146,328,A
490,29452,102,D
491,8432,606,D
492,34752,741,A
493,6412,726,B
494,211,322,A
495,33993,639,C
496,12070,319,F
497,25635,348,A
498,48603,266,F
499,40011,358,A
500,2041,775,C
501,2328,88,D
502,8066,462,B
503,46741,975,C
504,18982,481,C
505,243,790,C
506,5339,424,A
507,33748,912,F
508,38367,469,B
509,49536,109,F
510,5738,271,D
511,30752,377,C
512,6038,52,F
513,49284,312,C
514,17995,319,A
515,34064,414,B
516,1579,582,F
517,35390,443,D
518,5354,800,C
519,3995,244,D
520,38049,342,F
521,13475,873,A
522,26471,104,A
523,20907,959,A
524,330,580,F
525,6585,800,B
526,40667,764,B
527,17764,729,B
528,6014,128,B
529,33229,620,B
530,46813,496,C
531,45031,758,A
532,48283,979,C
533,6158,134,C
534,45347,768,C
535,25820,657,B
536,9620,76,A
537,46194,47,B
538,40478,643,D
539,10952,561,F
540,48798,904,D
541,38874,119,B
542,13704,882,B
543,29368,255,C
544,44249,812,F
545,49934,394,B
546,1149,81,C
547,46770,419,C
548,42018,823,B
549,41201,35,B
550,38235,201,C
551,14261,356,B
552,42337,442,F
553,33863,207,A
554,39647,455,C
555,34849,330,B
556,25386,465,B
557,41298,862,D
558,33949,886,B
559,44197,631,C
560,6530,175,A
561,45045,309,A
562,26526,939,F
563,13226,389,C
564,1217,993,A
565,39899,146,F
566,37740,580,D
567,3314,517,A
568,22319,422,C
569,44112,29,F
570,43160,996,C
571,37450,765,F
572,49774,372,D
573,19479,85,C
574,26254,920,D
575,42642,69,A
576,25261,537,F
577,18871,270,F
578,26068,579,D
579,15762,248,B
580,25974,575,A
581,23921,248,D
582,5880,290,F
583,49235,854,A
584,21509,908,D
585,3492,249,C
586,2660,92,F
587,36942,35,C
588,12878,658,A
589,18760,541,F
590,17178,76,A
591,40456,793,D
592,15976,994,B
593,29655,470,F
594,32752,157,A
595,15808,356,F
596,6384,426,D
597,25175,121,A
598,16070,151,F
599,5288,778,D
600,32199,89,C
601,4129,341,A
602,24466,156,C
603,13999,459,C
604,22664,199,B
605,43131,286,F
606,45747,153,B
607,41271,135,D
608,30781,843,A
609,46534,264,D
610,28184,707,C
611,16319,774,B
612,539,591,F
613,33984,189,D
614,38159,758,C
615,32660,196,A
616,22709,787,B
617,5266,642,F
618,23394,113,C
619,29006,854,C
620,532,582,B
621,38333,228,B
622,46528,12,F
623,23673,164,C
624,23218,141,C
625,2906,243,C
626,19502,895,F
627,18501,346,F
628,32427,708,A
629,19334,825,B
630,44981,89,C
631,36627,656,D
632,18511,288,D
633,3680,283,A
634,31763,633,C
635,32056,387,C
636,5827,91,C
637,9657,151,D
638,32613,17,C
639,25693,214,B
640,4399,311,A
641,47442,484,F
642,32642,246,D
643,32400,282,F
644,37906,541,B
645,38793,654,F
646,43505,643,F
647,40778,862,B
648,46597,366,F
649,14927,753,D
650,16048,286,D
651,21478,723,C
652,1687,509,A
653,19244,171,C
654,47006,890,D
655,41905,651,B
656,16863,271,B
657,9624,924,C
658,33666,573,B
659,24900,373,F
660,19404,212,D
661,16196,273,A
662,38613,533,C
663,4954,70,A
664,7060,553,C
665,3055,774,B
666,20038,966,C
667,41653,235,D
668,38014,840,B
669,14940,396,F
670,20827,324,D
671,17196,592,D
672,18937,210,B
673,4151,495,F
674,10027,200,A
675,22639,968,A
676,5991,80,A
677,42808,494,F
678,32346,308,F
679,40114,351,C
680,27013,546,B
681,28703,498,D
682,25895,477,C
683,17533,238,B
684,3657,99,F
685,9118,537,B
686,39978,848,F
687,48622,263,A
688,37976,759,D
689,10778,38,C
690,47493,354,B
691,2913,222,F
692,12138,114,F
693,34170,808,C
694,17766,288,F
695,1181,520,D
696,31709,534,B
697,1501,624,C
698,11561,734,A
699,17211,113,F
700,10491,954,F
701,18469,45,C
702,46633,805,B
703,21944,177,A
704,42690,707,C
705,8940,94,F
706,25687,290,D
707,6539,878,F
708,37893,541,A
709,26647,438,C
710,33239,995,C
711,36754,30,B
712,4883,938,A
713,40803,436,C
714,38948,801,A
715,36615,561,B
716,43488,271,C
717,25936,613,F
718,3129,244,D
719,22990,338,D
720,12080,57,C
721,14713,134,F
722,21658,157,B
723,12548,389,C
724,18745,459,B
725,48303,55,F
726,27809,336,F
727,29611,713,C
728,34084,988,A
729,46291,16,D
730,44020,604,C
731,23747,562,D
732,49549,695,A
733,8938,80,F
734,45053,401,A
735,43560,861,C
736,3599,383,A
737,15203,349,F
738,42497,869,B
739,33488,28,A
740,44656,290,A
741,6455,336,F
742,32332,6,C
743,5543,802,B
744,8639,346,B
745,47833,734,B
746,47254,885,C
747,21614,506,B
748,31598,623,A
749,42858,124,C
750,32341,560,F
751,40167,562,C
752,28314,464,A
753,12287,937,C
754,13636,931,A
755,27531,481,C
756,32423,753,A
757,8387,694,B
758,46558,490,F
759,46601,365,D
760,4395,86,D
761,2122,548,C
762,5198,350,D
763,25117,622,A
764,1372,940,D
765,10360,155,D
766,28714,627,C
767,17549,623,D
768,49518,353,C
769,21441,302,F
770,26026,342,F
771,24629,92,C
772,48988,370,F
773,15539,673,D
774,30397,24,A
775,33713,816,D
776,18551,735,F
777,47802,693,C
778,36935,187,B
779,43235,629,F
780,18455,909,C
781,12951,718,B
782,5037,71,C
783,8033,720,A
784,39981,908,C
785,19604,296,A
786,42079,511,A
787,18647,906,D
788,10962,767,A
789,1472,480,F
790,9819,881,C
791,43423,390,C
792,24931,685,F
793,3082,952,A
794,4323,97,B
795,10951,403,B
796,38746,321,D
797,25812,220,B
798,33369,525,A
799,48206,729,B
800,29094,369,A
801,34777,958,C
802,38230,33,B
803,28616,765,F
804,49826,528,D
805,14215,601,A
806,25071,304,B
807,7770,50,D
808,16736,876,A
809,21999,144,B
810,25094,266,A
811,25623,151,F
812,37930,437,D
813,32464,420,A
814,4805,836,F
815,35424,995,D
816,1440,784,F
817,41314,346,C
818,12217,741,C
819,4101,536,D
820,23689,81,C
821,15149,821,C
822,36444,837,A
823,26080,29,C
824,4887,973,B
825,39564,878,A
826,37417,829,C
827,12079,157,C
828,36647,318,F
829,20404,164,F
830,10451,24,A
831,7513,810,C
832,8481,447,F
833,14011,630,D
834,35198,569,D
835,41013,523,F
836,45628,733,F
837,25333,260,D
838,17786,944,F
839,17984,324,F
840,1000,247,D
841,19067,254,F
842,2620,391,D
843,17706,758,F
844,48560,416,A
845,35477,594,F
846,23912,223,A
847,13395,531,D
848,19323,928,F
849,42215,46,A
850,39040,104,A
851,29711,474,C
852,23047,856,C
853,19441,512,B
854,14639,368,D
855,1936,583,D
856,48736,454,C
857,3611,587,C
858,9045,96,F
859,41225,232,F
860,4757,72,D
861,46055,460,A
862,33471,273,A
863,2717,348,F
864,10118,674,F
865,46207,43,A
866,36985,332,C
867,17551,410,A
868,13924,393,B
869,16409,711,B
870,38027,632,A
871,26280,554,A
872,42482,849,A
873,35409,295,C
874,45932,883,A
875,10057,220,D
876,16809,958,D
877,16300,324,F
878,45787,124,F
879,2459,590,A
880,47811,921,D
881,35756,986,C
882,39277,999,A
883,36172,87,D
884,40135,826,C
885,12889,275,B
886,7008,1000,B
887,8052,583,F
888,37418,141,F
889,33268,562,F
890,7509,330,F
891,14183,703,C
892,45169,142,C
893,17009,417,A
894,47811,337,F
895,11108,842,D
896,39644,747,D
897,10248,742,A
898,47813,124,F
899,25370,801,D
900,48531,162,B
901,42976,797,A
902,46334,15,C
903,26735,436,C
904,9417,739,B
905,23425,933,C
906,15882,924,A
907,3386,943,F
908,33659,724,B
909,30945,776,B
910,4790,641,B
911,35434,537,F
912,33093,924,A
913,25358,922,D
914,46807,185,A
915,42809,57,F
916,32963,648,C
917,2846,166,A
918,32480,517,C
919,29695,374,F
920,19551,996,D
921,28499,930,B
922,6084,510,A
923,4710,672,A
924,13300,642,F
925,23570,201,F
926,40783,933,D
927,24558,945,A
928,49513,434,B
929,13008,828,B
930,39141,503,D
931,22077,893,D
932,11050,56,C
933,1219,703,A
934,11041,619,F
935,13585,962,B
936,10568,987,A
937,36044,114,B
938,366,719,B
939,39264,227,B
940,27582,11,B
941,32803,103,B
942,35364,255,F
943,17757,449,C
944,33921,127,A
945,40561,194,C
946,11163,733,D
947,30981,927,B
948,6066,338,F
949,15447,692,B
950,47330,406,B
951,27105,312,A
952,8306,998,C
953,2430,183,A
954,16276,854,A
955,12423,961,D
956,19261,152,C
957,39618,885,B
958,17911,690,F
959,7803,323,D
960,39782,103,A
961,7630,824,D
962,22086,237,C
963,40225,91,C
964,37118,249,D
965,30338,219,F
966,48687,588,C
967,47586,805,F
968,14705,311,C
969,1671,279,A
970,49856,147,F
971,33981,444,C
972,31046,245,B
973,35638,979,D
974,38474,462,D
975,38972,786,C
976,45417,763,B
977,442,787,D
978,14466,42,B
979,13210,810,A
980,30791,991,F
981,31433,676,A
982,39000,882,A
983,15463,765,D
984,143,237,F
985,27999,938,D
986,26002,266,F
987,16952,863,A
988,2630,186,D
989,14700,958,F
990,34822,499,F
991,27631,524,A
992,43269,637,D
993,8539,319,C
994,41380,648,C
995,49590,622,D
996,29376,362,D
997,432,208,F
998,38969,962,C
999,34292,519,F
1000,35276,924,F
1001,49770,905,B
1002,13925,492,C
1003,9176,867,B
1004,47222,575,C
1005,420,936,F
1006,41569,507,A
1007,9345,309,B
1008,44980,781,A
1009,4959,566,F
1010,6360,874,A
1011,12850,634,B
1012,18979,56,F
1013,8028,861,A
1014,48458,899,B
1015,15487,382,F
1016,38245,466,C
1017,31552,58,D
1018,42229,944,D
1019,43895,706,D
1020,2445,833,D
1021,12882,799,A
1022,24786,898,F
1023,35596,506,F
1024,8152,156,A
1025,23690,718,C
1026,13735,892,A
1027,29339,112,D
1028,30236,404,D
1029,42496,609,F
1030,9353,112,B
1031,34067,799,C
1032,16823,110,D
1033,5772,529,C
1034,29576,612,D
1035,11433,822,B
1036,36109,889,D
1037,1019,146,B
1038,25234,953,B
1039,32721,552,B
1040,4207,502,D
1041,36189,249,C
1042,8677,899,A
1043,1751,701,D
1044,48305,653,C
1045,10580,810,F
1046,40563,971,C
1047,49906,841,D
1048,28521,995,D
1049,39436,442,B
1050,22953,820,F
1051,9513,75,C
1052,43864,680,D
1053,4067,146,C
1054,7609,576,A
1055,30834,375,C
1056,10254,187,F
1057,36504,587,F
1058,31938,756,A
1059,45319,42,D
1060,23034,608,F
1061,26817,602,A
1062,15699,417,F
1063,5337,780,B
1064,42856,510,C
1065,37325,941,D
1066,27280,100,F
1067,29060,48,A
1068,17006,5,A
1069,40204,722,D
1070,30922,526,A
1071,48819,575,F
1072,7740,673,B
1073,15951,295,D
1074,22466,407,A
1075,36345,655,C
1076,22045,124,D
1077,41841,781,A
1078,20856,452,D
1079,11419,705,B
1080,9283,791,B
1081,49601,993,F
1082,22944,802,C
1083,8753,806,A
1084,19485,938,A
1085,19424,791,B
1086,1295,663,B
1087,10128,30,B
1088,16812,462,A
1089,1275,976,C
1090,28265,422,B
1091,41449,74,C
1092,45671,730,A
1093,27362,926,D
1094,9944,83,A
1095,22679,778,D
1096,29562,589,D
1097,29250,668,C
1098,43022,271,B
1099,48057,958,B
1100,30112,545,C
1101,19273,803,C
1102,35026,15,A
1103,30884,165,C
1104,14216,402,A
1105,27119,980,C
1106,28147,602,D
1107,32040,202,D
1108,22748,838,C
1109,10533,926,F
1110,47280,856,F
1111,8110,310,C
1112,36924,693,F
1113,25042,327,C
1114,2000,206,C
1115,39093,810,B
1116,35102,243,B
1117,12664,506,D
1118,22660,351,B
1119,45423,641,B
1120,38815,422,F
1121,45039,819,C
1122,36208,167,C
1123,2812,118,D
1124,8722,831,D
1125,41167,866,F
1126,3295,115,B
1127,20884,837,C
1128,13076,672,A
1129,39765,295,B
1130,5641,275,D
1131,21336,642,A
1132,2668,882,C
1133,28261,789,D
1134,38113,52,B
1135,7796,354,C
1136,28293,57,D
1137,8957,779,B
1138,1144,696,F
1139,41263,548,B
1140,21766,43,B
1141,4243,443,F
1142,43800,437,D
1143,24271,280,C
1144,48559,757,F
1145,17846,77,F
1146,21115,272,D
1147,19444,455,B
1148,22442,255,B
1149,19120,807,D
1150,48777,967,F
1151,42261,893,C
1152,3195,137,F
1153,18630,440,C
1154,22536,902,D
1155,38485,877,D
1156,38586,221,F
1157,39068,618,A
1158,32334,685,C
1159,2369,553,F
1160,12729,484,F
1161,30813,606,C
1162,6868,927,D
1163,5847,40,A
1164,8338,71,D
1165,2611,161,D
1166,29374,751,A
1167,33186,581,A
1168,22329,933,F
1169,5081,835,D
1170,4053,59,A
1171,35060,933,A
1172,25955,139,A
1173,26311,733,C
1174,19948,664,C
1175,17535,619,B
1176,17006,831,F
1177,24202,326,C
1178,7818,582,A
1179,19910,645,D
1180,10448,502,D
1181,34849,979,C
1182,46048,753,D
1183,28548,484,F
1184,8673,779,D
1185,3298,164,C
1186,42763,685,F
1187,32648,203,D
1188,42552,686,B
1189,10877,652,C
1190,43084,965,A
1191,13219,735,B
1192,46392,145,C
1193,18262,625,A
1194,37800,931,D
1195,28134,199,D
1196,25868,815,D
1197,29346,669,A
1198,17099,148,A
1199,24043,379,D
1200,34685,573,A
1201,34460,738,D
1202,42228,895,D
1203,9927,254,A
1204,15876,179,F
1205,26906,941,D
1206,39623,22,A
1207,37867,258,A
1208,12727,564,F
1209,19476,324,A
1210,39346,731,C
1211,27852,804,F
1212,1702,793,F
1213,4946,20,F
1214,559,738,D
1215,25406,462,D
1216,13461,183,A
1217,5085,856,B
1218,17483,637,B
1219,17185,893,A
1220,5590,712,A
1221,15062,235,F
1222,47996,603,F
1223,25585,480,F
1224,36927,948,A
1225,37678,646,F
1226,38336,587,C
1227,23611,284,D
1228,15470,846,F
1229,33684,274,F
1230,8693,71,D
1231,37238,951,A
1232,18745,592,D
1233,46301,142,C
1234,40618,233,C
1235,31175,211,C
1236,6963,298,B
1237,31153,955,B
1238,29432,90,D
1239,37757,956,D
1240,16641,905,D
1241,36504,633,A
1242,4453,238,C
1243,23236,766,B
1244,10454,353,B
1245,43732,135,B
1246,40005,671,C
1247,32197,140,F
1248,35402,718,B
1249,29504,387,F
1250,13697,991,A
1251,35190,184,C
1252,42414,791,C
1253,27732,691,C
1254,29008,524,A
1255,10748,149,D
1256,43766,483,F
1257,35445,867,F
1258,14781,945,F
1259,37595,702,C
1260,31692,21,A
1261,12841,791,A
1262,31416,642,B
1263,33846,535,D
1264,16880,29,A
1265,26164,260,C
1266,15374,216,B
1267,34602,269,A
1268,41768,731,B
1269,45366,956,B
1270,9932,114,F
1271,40437,665,B
1272,37379,342,D
1273,23834,400,F
1274,37161,621,B
1275,45515,75,F
1276,45515,237,B
1277,24296,602,D
1278,6305,794,B
1279,9935,900,B
1280,11710,66,A
1281,17782,299,B
1282,34582,133,B
1283,20596,857,A
1284,25252,218,A
1285,47984,720,D
1286,36166,591,A
1287,17149,470,A
1288,18799,646,F
1289,15306,433,A
1290,37769,165,D
1291,39158,177,C
1292,36946,613,F
1293,28417,73,F
1294,32099,760,A
1295,21977,313,D
1296,25019,795,C
1297,37411,597,D
1298,37440,732,B
1299,45890,446,B
1300,6348,646,C
1301,15347,602,A
1302,36582,90,B
1303,15218,65,D
1304,34708,115,B
1305,4125,49,B
1306,17651,815,A
1307,11938,345,C
1308,31191,45,A
1309,4069,324,C
1310,8387,679,F
1311,1578,842,A
1312,6842,635,B
1313,26345,29,C
1314,42406,602,D
1315,11189,923,D
1316,23888,578,A
1317,16642,863,B
1318,16442,386,F
1319,21219,319,C
1320,409,757,B
1321,9476,325,B
1322,38846,842,D
1323,309,280,C
1324,15242,579,A
1325,28214,560,D
1326,16605,123,B
1327,24589,573,A
1328,3183,478,F
1329,34292,877,D
1330,34906,781,B
1331,7611,356,F
1332,42420,166,D
1333,37964,474,B
1334,8021,490,B
1335,33614,116,A
1336,17624,177,F
1337,37580,857,C
1338,16257,599,D
1339,32124,73,C
1340,35979,738,A
1341,45637,743,B
1342,18445,538,C
1343,34497,847,C
1344,36324,453,D
1345,13153,890,D
1346,33389,286,C
1347,47471,119,C
1348,23980,906,D
1349,40969,412,F
1350,41154,375,C
1351,49134,61,B
1352,34896,572,D
1353,49113,533,A
1354,24087,360,D
1355,4920,717,A
1356,45056,601,C
1357,14900,727,B
1358,42458,772,C
1359,48074,456,C
1360,3307,250,C
1361,37841,516,D
1362,2758,577,A
1363,30549,835,C
1364,17943,807,B
1365,17830,880,A
1366,4648,277,C
1367,18503,275,C
1368,30646,258,F
1369,16326,274,C
1370,1264,827,C
1371,20970,613,D
1372,21872,348,F
1373,49748,627,C
1374,38243,363,C
1375,1698,310,B
1376,35886,839,C
1377,13031,409,D
1378,2769,175,A
1379,42545,185,F
1380,17956,622,A
1381,9204,838,D
1382,27425,483,D
1383,39230,339,B
1384,16641,677,B
1385,40486,733,F
1386,5799,547,A
1387,39929,104,F
1388,32757,368,B
1389,33331,596,C
1390,31524,91,A
1391,20321,966,D
1392,20574,86,D
1393,37724,827,A
1394,29197,122,F
1395,9440,246,F
1396,21940,305,A
1397,29880,287,B
1398,15200,296,A
1399,16405,578,D
1400,30627,149,D
1401,4120,790,A
1402,37192,752,A
1403,284,598,A
1404,37612,998,C
1405,36555,996,C
1406,49356,39,C
1407,46370,362,A
1408,27808,899,D
1409,16717,388,C
1410,4262,328,C
1411,16671,708,A
1412,41051,559,C
1413,14724,404,A
1414,24841,411,D
1415,36015,546,F
1416,971,819,C
1417,29951,593,C
1418,3676,606,B
1419,47062,573,C
1420,9364,864,F
1421,6257,829,D
1422,9069,863,C
1423,11254,749,D
1424,37737,231,A
1425,734,202,C
1426,27587,644,A
1427,48676,204,C
1428,12724,72,A
1429,37707,75,A
1430,18434,557,D
1431,2236,237,C
1432,4984,365,B
1433,3777,427,F
1434,40935,618,B
1435,40839,502,B
1436,39337,213,B
1437,12607,263,D
1438,34262,293,C
1439,29142,273,D
1440,22962,67,F
1441,19339,888,F
1442,11244,949,C
1443,48274,544,B
1444,42187,905,D
1445,14485,207,D
1446,14234,11,F
1447,49487,685,F
1448,17311,352,D
1449,10197,153,D
1450,3861,892,B
1451,30993,872,C
1452,5419,321,A
1453,40073,780,A
1454,13112,950,F
1455,26673,343,B
1456,31782,233,D
1457,30579,205,F
1458,1416,864,D
1459,9229,698,F
1460,22454,235,A
1461,38509,731,B
1462,3546,310,B
1463,30923,136,A
1464,23730,214,C
1465,5831,452,A
1466,13188,496,B
1467,40426,592,A
1468,12721,319,F
1469,25734,139,C
1470,31339,279,C
1471,43067,967,D
1472,21290,747,A
1473,17668,459,A
1474,34339,818,C
1475,38742,188,C
1476,17051,805,B
1477,5809,144,F
1478,41552,67,C
1479,31613,256,D
1480,22881,49,D
1481,33510,386,A
1482,25619,157,C
1483,48671,667,B
1484,10767,265,F
1485,29824,808,F
1486,8928,109,C
1487,32848,144,D
1488,21703,653,D
1489,1054,467,B
1490,10214,943,F
1491,40651,14,B
1492,46981,392,F
1493,854,378,A
1494,46188,992,B
1495,31903,415,D
1496,43982,687,D
1497,49677,651,F
1498,19377,492,B
